Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
48828987,Thrown in the Throat (National Poetry Series),Benjamin Garcia,"Garcia, Benjamin",,"=""1571315217""","=""9781571315212""",0,4.31,Milkweed Editions,Paperback,96,2020,2020,,2025/01/18,to-read,to-read (#1898),to-read,,,,0,0
139878,Deepstep Come Shining,C.D. Wright,"Wright, C.D.",,"=""155659092X""","=""9781556590924""",0,4.23,Copper Canyon Press,Paperback,128,1998,1998,,2025/01/18,to-read,to-read (#1897),to-read,,,,0,0
591189,The Rocking-Horse Winner,D.H. Lawrence,"Lawrence, D.H.",,"=""1860920071""","=""9781860920073""",0,3.84,Travelman Classics,Paperback,22,1998,1926,,2025/01/18,to-read,to-read (#1896),to-read,,,,0,0
26158735,Black Movie,Danez Smith,"Smith, Danez",,"=""""","=""9781943735006""",0,4.46,Button Poetry,Paperback,40,2015,2015,,2025/01/18,to-read,to-read (#1895),to-read,,,,0,0
44094014,Homie,Danez Smith,"Smith, Danez",,"=""1644450100""","=""9781644450109""",0,4.41,Graywolf Press,Paperback,96,2020,2020,,2025/01/18,to-read,to-read (#1894),to-read,,,,0,0
33375618,Don't Call Us Dead,Danez Smith,"Smith, Danez",,"=""1555977855""","=""9781555977856""",0,4.47,Graywolf Press,Paperback,96,2017,2017,,2025/01/18,to-read,to-read (#1893),to-read,,,,0,0
59608146,The 1619 Project: A New Origin Story,Nikole Hannah-Jones,"Hannah-Jones, Nikole","The New York Times, Caitlin Roper, Ilena Silverman, Jake Silverstein, Leslie Alexander, Michelle Alexander, Carol Anderson, Joshua Bennett, Reginald Dwayne Betts, Jamelle Bouie, Anthea Butler, Matthew Desmond, Rita Dove, Camille T. Dungy, Cornelius Eady, Eve L. Ewing, Nikky Finney, Vievee Francis, Yaa Gyasi, Forrest Hamer, Terrance Hayes, Kimberly Annece Henderson, Jeneen InterlandI, Honorée Fanonne Jeffers, Barry Jenkins, Tyehimba Jess, Martha S. Jones, Robert Jones Jr., A. Van Jordan, Ibram X. Kendi, Eddie Kendricks, Yusef Komunyakaa, Kevin M. Kruse, Kiese Laymon, Trymaine Lee, Jasmine Mans, Terry McMillan, Tiya Miles, Wesley Morris, Khali Gibran Muhammad, Lynn Nottage, Z.Z. Packer, Gregory Pardlo, Darryl Pinckney, Claudia Rankine, Jason Reynolds, Dorothy Roberts, Sonia Sanchez, Tim Seibles, Evie Shockley, Clint   Smith, Danez Smith, Patricia Smith, Tracy K. Smith, Bryan Stevenson, Nafissa Thompson-Spires, Natasha Tretheway, Linda Villarosa, Jesmyn Ward","=""""","=""""",0,4.62,Random House Audio,Audible Audio,19,2021,2019,,2025/01/18,to-read,to-read (#1892),to-read,,,,0,0
563820,A Child's Christmas in Wales,Dylan Thomas,"Thomas, Dylan",Trina Schart Hyman,"=""0823405656""","=""9780823405657""",0,4.12,Holiday House,Hardcover,48,1985,1952,,2025/01/18,to-read,to-read (#1891),to-read,,,,0,0
763508,Under Milk Wood,Dylan Thomas,"Thomas, Dylan",,"=""0811202097""","=""9780811202091""",0,4.02,New Directions,Paperback,107,1954,1954,,2025/01/18,to-read,to-read (#1890),to-read,,,,0,0
6324467,Kneller's Happy Campers,Etgar Keret,"Keret, Etgar",,"=""0701184310""","=""9780701184315""",0,4.06,Chatto & Windus,Paperback,96,2009,1998,,2025/01/18,to-read,to-read (#1889),to-read,,,,0,0
